,Pais,Media_Duracao_Musica,Continente
158,Saudi Arabia,3.970175438596491,Asia
159,Senegal,4.341666666666667,Africa
160,Serbia,4.466279069767443,Europe
161,Seychelles,3.9525641025641027,Africa
162,Singapore,3.918803418803419,Asia
163,Slovakia,4.365530303030303,Europe
164,Slovenia,4.621739130434783,Europe
165,Solomon Islands,4.045833333333333,Oceania
166,South Africa,4.188759689922481,Africa
167,Spain,4.298780487804878,Europe
168,Sri Lanka,4.217083333333333,Asia
169,Sudan,4.117117117117117,Africa
170,Suriname,4.112820512820513,South America
171,Swaziland,3.917901234567901,Africa
172,Sweden,3.840476190476191,Europe
173,Switzerland,4.1104651162790695,Europe
174,Syrian Arab Republic,5.0528455284552845,Asia
175,Tajikistan,4.168018018018018,Asia
176,"Tanzania, United Republic of",3.9283333333333332,Africa
177,Thailand,4.038617886178861,Asia
178,Togo,3.8618279569892473,Africa
179,Tonga,3.953125,Oceania
180,Trinidad and Tobago,3.9682291666666667,Central America
181,Tunisia,4.866666666666666,Africa
182,Turkey,4.416666666666667,Asia
183,Turkmenistan,4.138425925925927,Asia
184,Uganda,3.9468468468468467,Africa
185,Ukraine,4.228508771929825,Europe
186,United Arab Emirates,4.119105691056911,Asia
187,United Kingdom,4.127037037037037,Europe
188,United States,4.0754166666666665,North America
189,Uruguay,4.3422480620155035,South America
190,Uzbekistan,4.1192982456140355,Asia
191,Vanuatu,4.334090909090909,Oceania
192,Viet Nam,4.023684210526316,Asia
193,"Virgin Islands, British",3.9227272727272724,Central America
194,"Virgin Islands, U.S.",4.26625,Central America
195,Yemen,4.026851851851852,Asia
196,Zambia,3.8090476190476195,Africa
197,Zimbabwe,3.7217171717171715,Africa
198,Åland Islands,4.168888888888889,Europe
